Num ppbs	979
Nucl time (y)	Nucl temp (°C)	x (vox)	y (vox)	z (vox)	Vol (cm^3)	Ext Vol(cm^3)	Rxn affinity (kJ/mol)
6506200	500.062	96	3	2	0.00202356	0.00202956	11.0486
6514400	500.144	120	105	12	0.00548099	0.00548099	11.0627
6515000	500.15	7	112	37	0.00293933	0.00293933	11.0637
6522400	500.224	51	116	120	0.00121113	0.00121113	11.0764
6542400	500.424	6	80	52	0.00316138	0.00316138	11.1107
6543000	500.43	114	58	53	0.00331603	0.0036396	11.1117
6587600	500.876	127	31	90	0.00296319	0.00296319	11.1881
6587800	500.878	71	105	6	0.000419876	0.000419876	10.0575
6588400	500.884	4	122	122	0.00178553	0.00178553	11.1895
6593000	500.93	48	6	108	0.00174954	0.00174954	11.1974
6597200	500.972	26	45	120	0.0027329	0.0027329	11.2046
6604200	501.042	65	112	9	0.000572903	0.000572903	10.2105
6632000	501.32	122	123	119	0.00380245	0.00380245	11.2643
6641600	501.416	16	5	50	0.00242158	0.00242158	11.2807
6642200	501.422	65	24	59	0.00101421	0.00101421	10.8253
6645400	501.454	25	95	60	0.00227543	0.0023773	11.2872
6658000	501.58	140	125	24	0.00151806	0.00151806	11.3088
6663200	501.632	25	84	61	0.00194077	0.00198271	11.3177
6677800	501.778	15	63	18	0.0050825	0.0050825	11.3428
6680400	501.804	135	5	17	0.00478312	0.00478312	11.3472
6691200	501.912	133	19	64	0.00391861	0.00394258	11.3657
6709800	502.098	56	19	63	0.00163647	0.00163647	11.2491
6710800	502.108	4	52	117	0.00168641	0.0016924	11.3994
6716400	502.164	104	130	66	0.00287259	0.00340587	11.409
6729600	502.296	93	102	84	0.00263521	0.00263521	11.4316
6742400	502.424	52	13	129	0.00126536	0.00136723	11.4535
6747800	502.478	29	19	32	0.00356153	0.00356153	11.4628
6749600	502.496	92	72	5	0.00148643	0.00172611	11.4659
6751600	502.516	109	92	15	0.00311567	0.00315761	11.4693
6753200	502.532	48	130	47	0.00228775	0.00228775	11.4721
6762800	502.628	49	121	36	0.00195579	0.00195579	11.4885
6764800	502.648	127	9	32	0.00371596	0.00382981	11.4919
6791400	502.914	79	50	48	0.00107309	0.00108508	11.0066
6806400	503.064	17	18	99	0.0012508	0.00125679	11.5633
6824000	503.24	106	2	133	0.00189992	0.00189992	11.5935
6824400	503.244	47	14	126	0.00175983	0.00201748	11.5942
6831800	503.318	61	54	9	0.00165277	0.00165277	11.1553
6843000	503.43	3	54	124	0.00187089	0.00188887	11.6261
6846400	503.464	124	76	72	0.00294522	0.00307105	11.6319
6847600	503.476	5	25	33	0.00350653	0.00351852	11.634
6861000	503.61	38	12	115	0.00377672	0.00377672	11.6569
6869000	503.69	110	63	82	0.00120108	0.00159056	11.6707
6873400	503.734	54	78	16	0.00183106	0.00183106	11.6782
6882800	503.828	90	99	93	0.00155725	0.00155725	11.6943
6894400	503.944	92	83	48	0.00279483	0.00279483	11.7142
6903600	504.036	139	126	9	0.0026059	0.0026059	11.73
6905400	504.054	42	106	127	0.00381524	0.00381524	11.7331
6913800	504.138	41	11	73	0.00267452	0.00268052	11.7475
6931200	504.312	12	59	44	0.00247123	0.00247123	11.7774
6934200	504.342	121	65	29	0.00392279	0.00424636	11.7825
6946200	504.462	36	36	135	0.00303114	0.00303114	11.8031
6955600	504.556	59	48	74	0.0015543	0.0015543	11.4732
6977000	504.77	97	75	48	0.00258389	0.00258989	11.8559
6982800	504.828	38	137	3	0.00221136	0.00221136	11.8659
6997800	504.978	41	64	35	0.00201357	0.00201357	11.8916
7005800	505.058	16	73	61	0.002011	0.002011	11.9054
7020600	505.206	17	16	66	0.00513912	0.005229	11.9308
7030400	505.304	7	25	99	0.00169323	0.00169323	11.9476
7060400	505.604	55	136	138	0.0012972	0.0012972	11.9527
7068600	505.686	89	60	130	0.00182614	0.00204185	12.0131
7089600	505.896	22	78	59	0.00142806	0.00145202	12.0492
7100200	506.002	93	81	3	0.00159493	0.00174473	12.0674
7103400	506.034	87	71	6	0.000681352	0.000879088	12.0729
7106800	506.068	94	85	77	0.00430243	0.00430243	12.0787
7114800	506.148	31	102	31	0.0018941	0.0018941	12.0924
7129000	506.29	84	65	117	0.00128849	0.00128849	12.0135
7129800	506.298	5	120	67	0.00425129	0.00425129	12.1182
7150400	506.504	37	27	29	0.00236338	0.00254314	12.1535
7166400	506.664	69	45	102	0.000418559	0.000418559	10.7889
7191800	506.918	137	108	80	0.00197298	0.00197298	12.2246
