Crystallize 1.4 log for model PM3_151028_2242
Run began at: Wed Oct 28 22:51:44 2015

**** WARNING ****: max courant = 1.29375.  Instability possible.

Random seed used = -1446090704

Uncompensated deficit of 5.552e-09 g at index (25,45,102) at time 22.584 m.y.
Uncompensated deficit of 1.93874e-09 g at index (100,54,59) at time 22.592 m.y.
Uncompensated deficit of 3.96993e-09 g at index (106,19,68) at time 22.594 m.y.
Uncompensated deficit of 1.1574e-09 g at index (99,52,60) at time 22.596 m.y.
Uncompensated deficit of 9.57636e-09 g at index (26,46,102) at time 22.596 m.y.
Uncompensated deficit of 5.76313e-09 g at index (100,53,60) at time 22.614 m.y.
Uncompensated deficit of 7.63148e-09 g at index (28,47,103) at time 22.614 m.y.
Uncompensated deficit of 3.06168e-09 g at index (25,48,99) at time 22.616 m.y.
Uncompensated deficit of 3.18223e-09 g at index (54,115,45) at time 22.618 m.y.
Uncompensated deficit of 1.1821e-08 g at index (100,55,58) at time 22.622 m.y.
Uncompensated deficit of 4.29317e-10 g at index (24,47,99) at time 22.624 m.y.
Uncompensated deficit of 7.31552e-09 g at index (29,47,105) at time 22.626 m.y.
Uncompensated deficit of 1.36484e-08 g at index (27,47,102) at time 22.628 m.y.
Uncompensated deficit of 3.1535e-09 g at index (23,43,103) at time 22.628 m.y.
Uncompensated deficit of 8.20441e-09 g at index (25,46,101) at time 22.638 m.y.
Uncompensated deficit of 7.48718e-09 g at index (105,21,68) at time 22.646 m.y.
Uncompensated deficit of 1.04441e-08 g at index (24,45,101) at time 22.646 m.y.
Uncompensated deficit of 1.01985e-09 g at index (53,115,44) at time 22.652 m.y.
Uncompensated deficit of 5.32065e-09 g at index (53,114,45) at time 22.652 m.y.
Uncompensated deficit of 1.57095e-08 g at index (26,47,101) at time 22.652 m.y.
Uncompensated deficit of 4.07794e-09 g at index (54,116,44) at time 22.654 m.y.
Uncompensated deficit of 6.23546e-09 g at index (55,116,46) at time 22.658 m.y.
Uncompensated deficit of 9.10641e-09 g at index (25,47,100) at time 22.660 m.y.
Uncompensated deficit of 6.65233e-09 g at index (16,130,3) at time 22.666 m.y.
Uncompensated deficit of 1.83608e-08 g at index (24,46,100) at time 22.668 m.y.
Uncompensated deficit of 1.011e-08 g at index (29,48,103) at time 22.674 m.y.
Uncompensated deficit of 1.03861e-08 g at index (32,53,94) at time 22.682 m.y.
Uncompensated deficit of 1.2718e-08 g at index (104,20,67) at time 22.686 m.y.
Uncompensated deficit of 1.21912e-08 g at index (30,48,104) at time 22.690 m.y.
Uncompensated deficit of 2.83098e-09 g at index (40,6,42) at time 22.692 m.y.
Uncompensated deficit of 3.48785e-09 g at index (54,114,47) at time 22.694 m.y.
Uncompensated deficit of 9.37485e-09 g at index (15,130,2) at time 22.700 m.y.
Uncompensated deficit of 6.56358e-09 g at index (55,115,47) at time 22.702 m.y.
Uncompensated deficit of 5.6912e-09 g at index (100,57,124) at time 22.702 m.y.
Uncompensated deficit of 3.77125e-09 g at index (43,8,44) at time 22.704 m.y.
Uncompensated deficit of 5.40163e-09 g at index (52,114,44) at time 22.706 m.y.
Uncompensated deficit of 3.58557e-09 g at index (55,117,44) at time 22.708 m.y.
Uncompensated deficit of 3.81692e-09 g at index (100,58,123) at time 22.710 m.y.
Uncompensated deficit of 1.2017e-08 g at index (22,41,105) at time 22.728 m.y.
