time step	time (yr)	temp (°C)	Al eqm CAR (mol/cm^3)	Al in CAR (mol)	Al in CAP (mol)	Al in fluid (mol)	CAR (g)	CAP (g)	numPorph	Mean rxn aff (kJ/mol)
67000	13400000	535.000000	1.74995e-06	0.00376292	0.023733	0.000261014	1.13685	6.60014	899	6.74618
67500	13500000	535.000000	1.75051e-06	0.00348137	0.0240175	0.000255419	1.05179	6.67928	903	6.42566
68000	13600000	535.000000	1.75107e-06	0.00321692	0.0242847	0.00025012	0.971896	6.75359	906	6.11946
68500	13700000	535.000000	1.75163e-06	0.00296816	0.0245365	0.000244966	0.896741	6.82359	912	5.81889
69000	13800000	535.000000	1.75219e-06	0.00273286	0.0247738	0.000239977	0.825651	6.88959	920	5.52573
69500	13900000	535.000000	1.75275e-06	0.00251143	0.0249966	0.000235317	0.758753	6.95157	924	5.25064
70000	14000000	535.000000	1.75331e-06	0.00230538	0.0252053	0.00023064	0.696501	7.00959	926	4.97109
70500	14100000	535.000000	1.75387e-06	0.00211253	0.0254005	0.000226363	0.638238	7.06388	929	4.71676
71000	14200000	535.000000	1.75443e-06	0.00193194	0.0255835	0.000222098	0.583678	7.11477	929	4.46037
71500	14300000	535.000000	1.75499e-06	0.00176503	0.0257537	0.000217764	0.533252	7.16212	930	4.19511
72000	14400000	535.000000	1.75555e-06	0.0016104	0.0259114	0.000213644	0.486535	7.20596	934	3.94295
72500	14500000	535.000000	1.75611e-06	0.00146723	0.0260571	0.000209526	0.44328	7.24649	936	3.68587
73000	14600000	535.000000	1.75667e-06	0.00133587	0.0261912	0.0002056	0.403593	7.28376	939	3.43779
73500	14700000	535.000000	1.75723e-06	0.00121521	0.0263143	0.000201852	0.36714	7.318	941	3.1997
74000	14800000	535.000000	1.75779e-06	0.00110346	0.0264277	0.000198574	0.333378	7.34955	943	2.99545
74500	14900000	535.000000	1.75835e-06	0.00100059	0.0265322	0.000195305	0.302297	7.3786	947	2.79039
75000	15000000	535.000000	1.75892e-06	0.0009069	0.0266276	0.000192263	0.273993	7.40513	952	2.59485
75500	15100000	535.000000	1.75948e-06	0.000820934	0.0267152	0.000189532	0.248021	7.42949	953	2.42177
