Crystallize 1.4 log for model PM4_120619_1554_rnd1
Run began at: Thu Jul 19 23:11:03 2012

courant = 0.846364

Random seed used = -1340438188

Uncompensated deficit of 3.206e-09 g at index (121,45,82) at time 10.184 m.y.
Time = 10200000.000000, delC = 1.17216e-06, NuclRate = 1.41204e-13
Uncompensated deficit of 3.01094e-09 g at index (18,97,7) at time 10.210 m.y.
Uncompensated deficit of 2.01524e-09 g at index (126,68,113) at time 10.215 m.y.
Uncompensated deficit of 3.3906e-09 g at index (125,68,114) at time 10.216 m.y.
Uncompensated deficit of 5.06661e-09 g at index (89,19,82) at time 10.230 m.y.
Uncompensated deficit of 1.29379e-08 g at index (18,135,42) at time 10.243 m.y.
Uncompensated deficit of 5.632e-09 g at index (48,123,49) at time 10.248 m.y.
Uncompensated deficit of 3.88712e-09 g at index (123,41,70) at time 10.258 m.y.
Uncompensated deficit of 3.16555e-09 g at index (123,40,69) at time 10.263 m.y.
Uncompensated deficit of 1.85299e-09 g at index (37,29,89) at time 10.263 m.y.
Uncompensated deficit of 9.64027e-11 g at index (15,102,104) at time 10.269 m.y.
Uncompensated deficit of 2.03415e-09 g at index (125,69,112) at time 10.278 m.y.
Uncompensated deficit of 3.38627e-09 g at index (124,69,113) at time 10.279 m.y.
Uncompensated deficit of 3.36693e-09 g at index (16,103,105) at time 10.283 m.y.
Uncompensated deficit of 2.80545e-09 g at index (11,75,55) at time 10.286 m.y.
Uncompensated deficit of 4.88672e-09 g at index (45,125,52) at time 10.287 m.y.
Uncompensated deficit of 1.13622e-08 g at index (31,59,36) at time 10.289 m.y.
Uncompensated deficit of 3.98001e-09 g at index (38,56,92) at time 10.289 m.y.
Uncompensated deficit of 3.57383e-09 g at index (127,67,114) at time 10.292 m.y.
Uncompensated deficit of 4.77889e-09 g at index (126,67,115) at time 10.292 m.y.
Uncompensated deficit of 1.31619e-08 g at index (32,60,37) at time 10.297 m.y.
Time = 10300000.000000, delC = 1.17271e-06, NuclRate = 1.4121e-13
Uncompensated deficit of 6.04054e-09 g at index (124,40,70) at time 10.301 m.y.
Uncompensated deficit of 3.37113e-09 g at index (39,57,91) at time 10.302 m.y.
Uncompensated deficit of 2.65826e-09 g at index (5,131,24) at time 10.304 m.y.
Uncompensated deficit of 3.01309e-09 g at index (22,5,6) at time 10.306 m.y.
Uncompensated deficit of 1.49073e-10 g at index (139,123,91) at time 10.308 m.y.
Uncompensated deficit of 1.21859e-08 g at index (6,132,25) at time 10.308 m.y.
Uncompensated deficit of 4.87994e-09 g at index (89,132,21) at time 10.313 m.y.
Uncompensated deficit of 5.29904e-09 g at index (124,41,71) at time 10.315 m.y.
Uncompensated deficit of 1.96374e-09 g at index (46,109,8) at time 10.316 m.y.
Uncompensated deficit of 1.47506e-09 g at index (8,130,24) at time 10.319 m.y.
Uncompensated deficit of 7.44436e-09 g at index (124,39,69) at time 10.325 m.y.
Uncompensated deficit of 3.98344e-10 g at index (49,123,51) at time 10.330 m.y.
Uncompensated deficit of 4.26824e-09 g at index (11,76,56) at time 10.330 m.y.
Uncompensated deficit of 6.12498e-09 g at index (22,4,7) at time 10.330 m.y.
Uncompensated deficit of 6.1726e-10 g at index (51,120,50) at time 10.332 m.y.
Uncompensated deficit of 6.72431e-09 g at index (45,109,7) at time 10.333 m.y.
Uncompensated deficit of 4.67387e-09 g at index (123,43,71) at time 10.336 m.y.
Uncompensated deficit of 1.20247e-09 g at index (137,124,90) at time 10.339 m.y.
Uncompensated deficit of 8.14864e-09 g at index (122,43,70) at time 10.346 m.y.
Uncompensated deficit of 5.97582e-09 g at index (8,129,23) at time 10.350 m.y.
Uncompensated deficit of 2.31322e-09 g at index (14,101,103) at time 10.350 m.y.
Uncompensated deficit of 4.98812e-09 g at index (48,110,8) at time 10.356 m.y.
Uncompensated deficit of 1.08735e-09 g at index (12,96,14) at time 10.361 m.y.
Uncompensated deficit of 8.7001e-10 g at index (50,122,51) at time 10.361 m.y.
Uncompensated deficit of 3.6876e-10 g at index (12,95,15) at time 10.364 m.y.
Uncompensated deficit of 4.19884e-09 g at index (105,6,52) at time 10.365 m.y.
Uncompensated deficit of 4.77347e-09 g at index (47,110,6) at time 10.367 m.y.
Uncompensated deficit of 1.23726e-09 g at index (11,95,14) at time 10.372 m.y.
Uncompensated deficit of 6.2104e-09 g at index (23,37,52) at time 10.376 m.y.
Uncompensated deficit of 3.49159e-09 g at index (8,25,108) at time 10.383 m.y.
Uncompensated deficit of 1.47561e-08 g at index (23,36,51) at time 10.383 m.y.
Uncompensated deficit of 8.40079e-09 g at index (9,25,109) at time 10.395 m.y.
Time = 10400000.000000, delC = 1.17326e-06, NuclRate = 1.41216e-13
Uncompensated deficit of 3.35915e-10 g at index (7,8,95) at time 10.408 m.y.
Uncompensated deficit of 2.0746e-10 g at index (40,58,90) at time 10.409 m.y.
Uncompensated deficit of 2.08174e-09 g at index (23,52,49) at time 10.409 m.y.
Uncompensated deficit of 8.8259e-09 g at index (39,58,89) at time 10.411 m.y.
Uncompensated deficit of 1.95054e-09 g at index (125,39,70) at time 10.413 m.y.
Uncompensated deficit of 2.27463e-09 g at index (24,51,49) at time 10.414 m.y.
Uncompensated deficit of 1.17262e-09 g at index (24,53,50) at time 10.420 m.y.
Uncompensated deficit of 4.26492e-09 g at index (25,52,50) at time 10.425 m.y.
Uncompensated deficit of 1.06089e-09 g at index (36,55,89) at time 10.434 m.y.
Uncompensated deficit of 3.06299e-09 g at index (119,55,84) at time 10.436 m.y.
Uncompensated deficit of 2.67309e-09 g at index (34,78,130) at time 10.438 m.y.
Uncompensated deficit of 2.47147e-09 g at index (22,95,99) at time 10.444 m.y.
Uncompensated deficit of 1.85191e-09 g at index (3,74,48) at time 10.445 m.y.
Uncompensated deficit of 3.3634e-09 g at index (37,115,22) at time 10.446 m.y.
Uncompensated deficit of 2.37808e-09 g at index (36,114,21) at time 10.450 m.y.
Uncompensated deficit of 3.86605e-09 g at index (34,77,131) at time 10.454 m.y.
Uncompensated deficit of 5.34117e-09 g at index (46,126,54) at time 10.455 m.y.
Uncompensated deficit of 8.11705e-09 g at index (22,3,8) at time 10.462 m.y.
Uncompensated deficit of 8.35607e-09 g at index (38,58,88) at time 10.463 m.y.
Uncompensated deficit of 3.32024e-09 g at index (129,20,100) at time 10.466 m.y.
Uncompensated deficit of 1.44738e-09 g at index (7,9,94) at time 10.466 m.y.
Uncompensated deficit of 6.92705e-09 g at index (48,127,57) at time 10.469 m.y.
Uncompensated deficit of 2.33135e-10 g at index (20,96,98) at time 10.470 m.y.
Uncompensated deficit of 8.81936e-09 g at index (46,108,11) at time 10.472 m.y.
Uncompensated deficit of 3.97418e-09 g at index (131,6,130) at time 10.476 m.y.
Uncompensated deficit of 7.4793e-09 g at index (52,78,5) at time 10.479 m.y.
Uncompensated deficit of 2.24423e-09 g at index (23,51,48) at time 10.479 m.y.
Uncompensated deficit of 1.16566e-10 g at index (6,8,94) at time 10.481 m.y.
